name,long,lat
source,6.8194213,45.910577
Chalet Les Méandres (ex Tupilak),6.7994213,45.900577
Gîte Michel Fagot,6.7978201,45.8903274
Refuge du Fioux,6.760269900000001,45.8720986
Auberge du Truc,6.7491891,45.83663050000001
La Ferme à Piron,6.725327789054232,45.81567138568972
Gîte les Mélèzes,6.72812,45.81234
Gîte le Pontet,6.7216802,45.8028013
Refuge de Nant Borrant,6.714341,45.778214
Refuge des Prés,6.7015633,45.7631401
Refuge de la Balme,6.711034499999999,45.7573943
Auberge-Refuge de la Nova,6.733873558197003,45.69658279623073
Les Chambres du Soleil,6.7339547,45.6969308
Refuge des Mottets,6.7792604,45.7370706
Cabane du Combal,6.8677373,45.77637499999999
Rifugio Maison Vieille,6.9310206,45.7908488
Gite le Randonneur du Mont Blanc,6.937082999999999,45.793554
Rifugio Monte Bianco CAI Uget,6.9307565,45.800621
Rifugio G. Bertone,6.978450939270036,45.809009979545166
Hotel Funivia,6.96483850479126,45.8187096064937
Hôtel Lavachey,7.021733522415161,45.85002676725752
Hotel Chalet Val Ferret,7.053360899999999,45.8710026
Gîte Alpage de La Peule,7.1126909,45.8985235
Hotel du Col de Fenêtre,7.10476,45.9161578
Gîte La Léchère,7.098832600000001,45.9201065
Chalet 'Le Dolent',7.096009,45.929125
Maya-Joie,7.097611,45.930596
Auberge des Glaciers,7.0987605,45.9323887
Gîte de La Fouly,7.0985092,45.9331032
Hôtel Edelweiss,7.098316,45.9336993
Auberge Gîte Bon Abri,7.0991197,46.0355254
Chalet La Grange,7.0992161,46.0358866
Relais d'Arpette,7.0928716,46.0298881
Hôtel du Col de la Forclaz,7.00132,46.05797
Auberge Mont-Blanc,6.994205999999999,46.058218
La Grande Ourse,6.9941296,46.0577896
Refuge Le Peuty,6.993712299999999,46.0466917
Gîte Mermoud,6.925678,46.027466
Gîte d'Alpage Les Ecuries de Charamillon,6.9586614,46.0155945
Gîte Le Moulin,6.9334237,45.993545
Auberge la Boërne,6.9270158,45.9949698
target,6.8770158,45.9249698
